date,code,开盘,最高,最低,收盘,成交量,成交额,turn
2026-02-05,sh.688047,153.1,155.8,152.8,154.28,4572993,705581996.33,1.140400
2026-02-06,sh.688047,152.32,159.35,150.13,158.2,7709456,1200223902.06,1.922600
2026-02-09,sh.688047,160.31,167.77,155.81,162.65,11259509,1819638818.02,2.807900
2026-02-10,sh.688047,159.83,165.98,158.52,158.94,7500880,1213612111.95,1.870500
2026-02-11,sh.688047,158.0,160.19,156.58,157.0,4551837,720141351.01,1.135100
2026-02-12,sh.688047,157.0,161.89,154.88,161.0,7755090,1228583641.38,1.933900
2026-02-13,sh.688047,159.09,162.9,158.09,158.51,5807413,928867847.72,1.448200
2026-02-24,sh.688047,161.0,161.09,154.16,157.79,5986646,945723223.48,1.492900
2026-02-25,sh.688047,158.8,161.99,156.01,160.0,6450657,1026196436.47,1.608600
2026-02-26,sh.688047,160.0,160.0,154.47,157.35,8660755,1357415797.3,2.159800
2026-02-27,sh.688047,155.4,160.99,154.12,158.73,7121085,1125449212.91,1.775800
2026-03-02,sh.688047,155.88,158.46,152.75,154.3,7304855,1134405022.45,1.821700
2026-03-03,sh.688047,155.1,155.5,144.0,144.47,8166524,1211273067.38,2.036500
2026-03-04,sh.688047,143.0,146.38,141.48,142.15,5637507,809875500.76,1.405900
2026-03-05,sh.688047,145.66,146.6,143.6,144.59,4358215,632037365.75,1.086800
2026-03-06,sh.688047,143.78,149.96,142.6,149.96,5548376,814650684.92,1.383600
2026-03-09,sh.688047,153.28,162.8,150.23,160.3,17469751,2740787759.96,4.356500
2026-03-10,sh.688047,160.45,160.45,154.22,157.0,12119025,1899784254.68,3.022200
2026-03-11,sh.688047,156.0,157.85,151.94,151.97,7599197,1173947938.84,1.895100
2026-03-12,sh.688047,151.68,155.44,148.0,149.33,6252144,946248359.69,1.559100
2026-03-13,sh.688047,147.29,148.47,143.6,145.15,6481595,942940464.38,1.616400
2026-03-16,sh.688047,145.6,155.5,141.67,155.5,10017869,1490719278.68,2.498200
