时间,开盘,最高,最低,收盘,成交量,成交额,流通股数,换手率
2020-01-02,12.47,12.64,12.45,12.47,51629079.0,647446166.0,28103763899.0,0.0018370877006206664
2020-01-03,12.57,12.63,12.47,12.6,38018810.0,477053357.0,28103763899.0,0.001352801359157191
2020-01-06,12.52,12.65,12.42,12.46,41001193.0,514432551.0,28103763899.0,0.0014589217710250875
2020-01-07,12.51,12.6,12.46,12.5,28421482.0,355811756.0,28103763899.0,0.0010113051796955676
2020-01-08,12.41,12.45,12.25,12.32,35240536.0,434980266.0,28103763899.0,0.001253943639956851
2020-01-09,12.39,12.43,12.35,12.37,26151448.0,324168061.0,28103763899.0,0.0009305318708904515
2020-01-10,12.37,12.42,12.31,12.39,18321252.0,226580302.0,28103763899.0,0.000651914528809855
2020-01-13,12.4,12.41,12.31,12.41,20715566.0,255982380.0,28103763899.0,0.0007371100210793156
2020-01-14,12.4,12.69,12.39,12.43,29994561.0,374971640.0,28103763899.0,0.0010672791412493783
2020-01-15,12.41,12.45,12.25,12.25,31897217.0,392531149.0,28103763899.0,0.0011349802508529821
2020-01-16,12.28,12.31,12.16,12.2,22454876.0,274130148.0,28103763899.0,0.0007989988843024332
2020-01-17,12.22,12.29,12.16,12.23,17593111.0,215028083.0,28103763899.0,0.0006260055081314573
2020-01-20,12.26,12.27,12.19,12.25,23734609.0,290296136.0,28103763899.0,0.0008445348845548953
2020-01-21,12.2,12.25,12.04,12.08,31787474.0,384580844.0,28103763899.0,0.0011310753290640573
2020-01-22,11.7,11.84,11.65,11.77,78133556.0,917203481.0,28103763899.0,0.0027801811985326344
2020-01-23,11.75,11.75,11.32,11.35,76534796.0,879151046.0,28103763899.0,0.0027232934447874186
2020-02-03,10.22,10.69,10.22,10.47,95367382.0,997686058.0,28103763899.0,0.003393402476007614
2020-02-04,10.51,10.74,10.48,10.66,66783767.0,710434836.0,28103763899.0,0.002376328211410014
2020-02-05,10.69,10.78,10.58,10.7,45046658.0,481639081.0,28103763899.0,0.001602869215735294
2020-02-06,10.81,10.86,10.65,10.79,38023801.0,408101901.0,28103763899.0,0.0013529789510277298
2020-02-07,10.73,10.91,10.67,10.86,31896956.0,342581621.0,28103763899.0,0.0011349709638407179
2020-02-10,10.76,10.84,10.71,10.77,34032121.0,366391170.0,28103763899.0,0.001210945306909974
2020-02-11,10.82,10.95,10.78,10.86,34856302.0,378583345.0,28103763899.0,0.001240271663442215
2020-02-12,10.84,10.88,10.76,10.86,26313927.0,284693716.0,28103763899.0,0.0009363132673106578
2020-02-13,10.82,10.88,10.76,10.76,22630613.0,244794981.0,28103763899.0,0.0008052520324797225
2020-02-14,10.76,10.88,10.74,10.86,22360549.0,242102421.0,28103763899.0,0.0007956425011382778
2020-02-17,10.88,11.21,10.86,11.18,41343320.0,457641227.0,28103763899.0,0.0014710954784768562
2020-02-18,11.09,11.18,11.04,11.06,30162703.0,334474238.0,28103763899.0,0.0010732620409280218
2020-02-19,11.08,11.24,11.04,11.11,25100157.0,279375283.0,28103763899.0,0.0008931243903914638
2020-02-20,11.17,11.27,11.06,11.23,36656416.0,408938116.0,28103763899.0,0.0013043240802810873
2020-02-21,11.23,11.39,11.21,11.3,38949418.0,439706991.0,28103763899.0,0.0013859146461654523
2020-02-24,11.23,11.34,11.1,11.16,44738622.0,501186013.0,28103763899.0,0.001591908548647888
2020-02-25,11.07,11.15,11.01,11.09,48324564.0,535241824.0,28103763899.0,0.0017195050518382523
2020-02-26,11.01,11.33,11.01,11.2,51906287.0,581437742.0,28103763899.0,0.0018469514327882235
2020-02-27,11.2,11.3,11.13,11.21,33029824.0,370549707.0,28103763899.0,0.0011752811516173918
2020-02-28,11.11,11.18,10.85,10.85,50137988.0,550529618.0,28103763899.0,0.001784031070720176
2020-03-02,10.95,11.1,10.92,11.04,39245056.0,432698824.0,28103763899.0,0.001396434162379098
2020-03-03,11.13,11.23,11.04,11.06,39332460.0,437422565.0,28103763899.0,0.0013995442084325062
2020-03-04,11.01,11.1,10.95,11.03,34628358.0,381014627.0,28103763899.0,0.0012321608637351298
