date,code,开盘,最高,最低,收盘,成交量,成交额
2026-02-05,sz.002049,77.53,78.2,76.5,77.48,17751844,1371213326.34
2026-02-06,sz.002049,76.88,77.56,76.02,76.56,16690283,1281956559.83
2026-02-09,sz.002049,77.7,78.07,77.09,78.0,17575942,1365680687.93
2026-02-10,sz.002049,77.99,78.93,77.55,77.94,14852510,1162282189.85
2026-02-11,sz.002049,77.79,77.97,77.21,77.31,12023703,932184595.55
2026-02-12,sz.002049,77.41,78.66,77.41,78.51,16352958,1277353558.09
2026-02-13,sz.002049,77.86,78.85,77.49,77.49,13679498,1069260672.44
2026-02-24,sz.002049,78.28,79.15,77.6,78.83,16378614,1286158581.1
2026-02-25,sz.002049,78.83,79.41,78.07,78.72,18420215,1450077307.16
2026-02-26,sz.002049,79.3,80.51,78.57,80.18,21159965,1685549104.01
2026-02-27,sz.002049,79.38,80.0,78.52,79.7,15507415,1228318435.37
2026-03-02,sz.002049,78.8,80.45,78.4,79.95,21559526,1714520860.75
2026-03-03,sz.002049,79.94,80.17,75.08,75.13,27968519,2160778239.01
2026-03-04,sz.002049,74.6,76.38,73.99,74.48,16249095,1222844931.13
2026-03-05,sz.002049,75.88,76.18,74.67,74.91,14419134,1089526135.86
2026-03-06,sz.002049,74.6,75.5,74.48,75.16,10806888,810908246.13
2026-03-09,sz.002049,73.98,74.35,72.0,73.82,17739067,1292579542.41
2026-03-10,sz.002049,74.97,75.86,74.8,75.29,13434059,1010339724.92
2026-03-11,sz.002049,75.0,75.95,74.88,75.53,11535409,870695155.42
2026-03-12,sz.002049,75.01,76.34,74.42,75.21,13671175,1029425421.83
2026-03-13,sz.002049,74.53,74.95,73.62,73.74,12647437,937615812.82
2026-03-16,sz.002049,73.74,74.66,72.7,74.57,14241824,1049461264.98
2026-03-17,sz.002049,74.63,74.7,72.6,72.71,12438041,914982416.02
