股票代码,股票简称,行业
601298,青岛港,航运港口
002600,领益智造,消费电子
688047,龙芯中科,半导体
302132,中航成飞,航天航空
601077,渝农商行,银行
001391,国货航,物流行业
301236,软通动力,软件开发
601825,沪农商行,银行
601058,赛轮轮胎,橡胶制品
002463,沪电股份,电子元件
000630,铜陵有色,有色金属
688472,阿特斯,光伏设备
600066,宇通客车,汽车整车
002028,思源电气,电网设备
600482,中国动力,船舶制造
601136,首创证券,证券
000975,山金国际,贵金属
300502,新易盛,通信设备
300394,天孚通信,通信设备
600160,巨化股份,化学制品
601127,赛力斯,汽车整车
600377,宁沪高速,铁路公路
002422,科伦药业,化学制药
688506,百利天恒,生物制品
688169,石头科技,家电行业
603296,华勤技术,消费电子
600161,天坛生物,生物制品
300832,新产业,医疗器械
300418,昆仑万维,互联网服务
600027,华电国际,电力行业
688009,中国通号,交运设备
600415,小商品城,商业百货
688082,盛美上海,半导体
600026,中远海能,航运港口
001965,招商公路,铁路公路
000807,云铝股份,有色金属
300442,润泽科技,互联网服务
600515,海南机场,航空机场
600489,中金黄金,贵金属
601059,信达证券,证券
688256,寒武纪-U,半导体
688041,海光信息,半导体
601916,浙商银行,银行
000999,华润三九,中药
300308,中际旭创,通信设备
600023,浙能电力,电力行业
600372,中航机载,航天航空
600938,中国海油,石油行业
688223,晶科能源,光伏设备
000617,中油资本,多元金融
601872,招商轮船,航运港口
601607,上海医药,医药商业
601699,潞安环能,煤炭行业
000983,山西焦煤,煤炭行业
600875,东方电气,电源设备
600674,川投能源,电力行业
601689,拓普集团,汽车零部件
600039,四川路桥,工程建设
688303,大全能源,光伏设备
605117,德业股份,光伏设备
600803,新奥股份,燃气
688187,时代电气,交运设备
002180,纳思达,计算机设备
600233,圆通速递,物流行业
000408,藏格矿业,化肥行业
600089,特变电工,电网设备
600219,南山铝业,有色金属
600188,兖矿能源,煤炭行业
000792,盐湖股份,化肥行业
300979,华利集团,纺织服装
300661,圣邦股份,半导体
601117,中国化学,工程建设
002648,卫星化学,化学原料
600460,士兰微,半导体
600941,中国移动,通信服务
001289,龙源电力,电力行业
002920,德赛西威,汽车零部件
002074,国轩高科,电池
601865,福莱特,光伏设备
603260,合盛硅业,非金属材料
300999,金龙鱼,食品饮料
300896,爱美客,美容护理
688981,中芯国际,半导体
002466,天齐锂业,能源金属
601898,中煤能源,煤炭行业
000301,东方盛虹,化学原料
688599,天合光能,光伏设备
600905,三峡能源,电力行业
300782,卓胜微,半导体
601728,中国电信,通信服务
300316,晶盛机电,光伏设备
300759,康龙化成,医疗服务
300760,迈瑞医疗,医疗器械
601868,中国能建,工程建设
002459,晶澳科技,光伏设备
300750,宁德时代,电池
002709,天赐材料,化学制品
605499,东鹏饮料,食品饮料
688396,华润微,半导体
688126,沪硅产业,半导体
688111,金山办公,软件开发
603806,福斯特,光伏设备
601995,中金公司,证券
601799,星宇股份,汽车零部件
600426,华鲁恒升,化学原料
300274,阳光电源,光伏设备
000800,一汽解放,汽车整车
600600,青岛啤酒,酿酒行业
688012,中微公司,半导体
603195,公牛集团,家用轻工
002049,紫光国微,半导体
600150,中国船舶,船舶制造
603392,万泰生物,生物制品
688036,传音控股,消费电子
600584,长电科技,半导体
600845,宝信软件,互联网服务
600918,中泰证券,证券
688008,澜起科技,半导体
300628,亿联网络,通信设备
601658,邮储银行,银行
000977,浪潮信息,计算机设备
601816,京沪高铁,铁路公路
603369,今世缘,酿酒行业
601100,恒立液压,工程机械
000708,中信特钢,钢铁行业
002129,TCL中环,光伏设备
002371,北方华创,半导体
003816,中国广核,电力行业
300014,亿纬锂能,电池
002916,深南电路,电子元件
300347,泰格医药,医疗服务
600183,生益科技,电子元件
600989,宝丰能源,化学原料
